Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,``$CAT-FUEL$``,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,Fuel Production Energy Use Fuel Fraction Natural Gas," | Fraction of Energy Use used to process and produce fuels that comes from natural gas.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_natural_gas``,,``fp_hydrogen_thermochemical``|``me_coal``,,,,``fuel_natural_gas``,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Oil," | Fraction of Energy Use used to process and produce fuels that comes from residual fuel oil or other heavy oils.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_oil``,,``me_coal``|``me_natural_gas``|``me_crude``,,,,``fuel_oil``,0,1,1,0
Input,Initial Fuel Production Energy Consumption Input Ratio," | Ratio of input Energy Use required to process one unit of energy of input fuel for the given technology at the first time step.
 | 
 | For example, in petroleum refinement, between 6-10% (2.31, V2 IPCC GNGHGI 2006) of input crude is burned for Energy Use to produce gasoline, distillate (diesel), kerosene, and residual/fuel oil. For a mean value of 8%, the value of Initial Fuel Production Energy Input Ratio would be entered as **0.08**.",``consumpratioinit_entc_energy_fuel_production_$CAT-TECHNOLOGY$``,,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``|``me_coal``|``me_natural_gas``|``me_crude``," | See Figure 2 of `Nduagu and Gates (2015) <https://pubs.acs.org/doi/10.1021/acs.est.5b01913>`_ for default ranges for ``me_coal``, ``me_natural_gas``, and ``me_oil``.
 | 
 | **NOTE**: Users should ensure that care is taken to represent oil extraction is properly characterized, as shale oil, oil sands, and conventional oil extraction have very different ranges.",,,none,0,1,1,0
Input,NemoMod CapitalCost,Cost to build a unit of capacity for the specified technology,"``nemomod_entc_capital_cost_$CAT-TECHNOLOGY$_$UNIT-MONETARY$_per_$UNIT-POWER$`` (``$UNIT-MONETARY$ = mm_usd``, ``$UNIT-POWER$ = gw``)",,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``," | See the `EIA <https://www.eia.gov/outlooks/aeo/assumptions/pdf/table_8.2.pdf>`_ or `Mongird et al. (2020) <https://www.mdpi.com/1996-1073/13/13/3307>`_ for some starting default costs (2022).
 | 
 | `Jarrar, Ayadi, and Asfar (2020) <http://dx.doi.org/10.13044/j.sdewes.d7.0302>`_ provide some cost estimates for biogas plants.",,,none,0,1,1,0
Input,NemoMod FixedCost,Fixed annual operating and maintenance costs per unit of power.,"``nemomod_entc_fixed_cost_$CAT-TECHNOLOGY$_$UNIT-MONETARY$_per_$UNIT-POWER$`` (``$UNIT-MONETARY$ = mm_usd``, ``$UNIT-POWER$ = gw``)",,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,See the `EIA <https://www.eia.gov/outlooks/aeo/assumptions/pdf/table_8.2.pdf>`_ or `Mongird et al. (2020) <https://www.mdpi.com/1996-1073/13/13/3307>`_  for some starting default costs (2022).,,,none,0,1,1,0
Input,NemoMod ReserveMargin,Reserve margin for generating capacity.,``nemomod_entc_reserve_margin``,,none,,,,none,0,1,1,0
Input,NemoMod ReserveMarginTagTechnology,Fraction of technology's capacity that is available to reserve margin.,``nemomod_entc_reserve_margin_tag_technology_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``|``st_batteries``|``st_compressed_air``|``st_flywheels``,,,,none,0,1,1,0
Input,NemoMod ResidualCapacity,Used to enter existing capacity **and** to represent its lifetime (declining availability).,``nemomod_entc_residual_capacity_$CAT-TECHNOLOGY$_$UNIT-POWER$`` (``$UNIT-POWER$ = gw``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,NemoMod TotalAnnualMaxCapacity," | Total annual maximum capacity for a generation technology. If none, enter -999 as a flag.. 
 | 
 | Exlucdes storage technologies.",``nemomod_entc_total_annual_max_capacity_$CAT-TECHNOLOGY$_$UNIT-POWER$`` (``$UNIT-POWER$ = gw``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,NemoMod TotalAnnualMaxCapacityInvestment," | Total annual maximum capacity investment, in units of power, for a generation technology (year-over-year maximum). If none, enter -999 as a flag.. 
 | 
 | Exlucdes storage technologies.",``nemomod_entc_total_annual_max_capacity_investment_$CAT-TECHNOLOGY$_$UNIT-POWER$`` (``$UNIT-POWER$ = gw``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,NemoMod TotalAnnualMinCapacity," | Total annual minimum capacity for a generation technology. If none, enter -999 as a flag.. 
 | 
 | Exlucdes storage technologies.",``nemomod_entc_total_annual_min_capacity_$CAT-TECHNOLOGY$_$UNIT-POWER$`` (``$UNIT-POWER$ = gw``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,NemoMod TotalAnnualMinCapacityInvestment," | Total annual minimum capacity investment, in units of power, for a generation technology (year-over-year maximum). If none, enter -999 as a flag..
 | 
 | Exlucdes storage technologies.
",``nemomod_entc_total_annual_min_capacity_investment_$CAT-TECHNOLOGY$_$UNIT-POWER$`` (``$UNIT-POWER$ = gw``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,NemoMod VariableCost," | According to `NemoMod <https://sei-international.github.io/NemoMod.jl/stable/parameters/#VariableCost>`_ , VariableCost is ""Running cost for a technology, defined in terms of cost per unit of nominal energy produced. Nominal energy is calculated by multiplying dispatched capacity by the length of time it is dispatched.""
 | 
 | In SISEPUEDE, all technologies (``pp_``) have variable costs associated with ``$MODE$ = generate``.","``nemomod_entc_variable_cost_$CAT-TECHNOLOGY$_$UNIT-MONETARY$_per_$UNIT-ENERGY$`` (``$UNIT-MONETARY$ = usd``, ``$UNIT-ENERGY$ = mwh``)",,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``|``st_batteries``|``st_compressed_air``|``st_flywheels``,,See the `EIA <https://www.eia.gov/outlooks/aeo/assumptions/pdf/table_8.2.pdf>`_ or `Mongird et al. (2020) <https://www.mdpi.com/1996-1073/13/13/3307>`_  (Tables 8. and 13. in particular for variable costs) for some starting default costs (2022).,,none,0,1,1,0
Input,Technology Efficiency of Fuel Use,Used to calculate the NemoMod **InputActivityRatio**. Entered as efficiency to keep with other SISEPUEDE variables.,``efficfactor_entc_technology_fuel_use_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``|``st_batteries``|``st_compressed_air``|``st_flywheels``,,,,,0,1,1,0
Ouptut,NemoMod Discounted Capital Investment," | Discounted capital investment in new generation technologies (in configuration monetary_units).
 | 
 | NemoMod output variable **vdiscountedcapitalinvestment**",``nemomod_entc_discounted_capital_investment_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,1,1,1,0
Output,NemoMod :math:`\text{CH}_4` Emissions from Electricity Generation,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_generation_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = ch4``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,1,1,1,1
Output,NemoMod :math:`\text{CH}_4` Emissions from Fuel Processing and Refinement,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_processing_and_refinement_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = ch4``),,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,1,1,1,1
Output,NemoMod :math:`\text{CO}_2` Emissions from Electricity Generation,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_generation_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = co2``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,1,1,1,1
Output,NemoMod :math:`\text{CO}_2` Emissions from Fuel Processing and Refinement,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_processing_and_refinement_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = co2``),,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,1,1,1,1
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_generation_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = n2o``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,1,1,1,1
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Fuel Processing and Refinement,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_processing_and_refinement_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = n2o``),,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,1,1,1,1
Output,NemoMod Discounted Operating Costs," | Discounted operating (fixed and variable) costs by generation technology (in configuration monetary_units).
 | 
 | NemoMod variable **vdiscountedoperatingcost**",``nemomod_entc_discounted_operating_costs_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,1,1,1,0
