Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Unnamed: 11,``$CAT-FUEL$``,Energy Efficiency Variable by Fuel,Fuel Fraction Variable by Fuel,Emissions Total by Gas Component
Input,SCOE Fraction Heat Energy Demand Diesel,Fraction of Heat Energy demand provided by diesel,``frac_scoe_heat_energy_$CAT-SCOE$_diesel``,,,,,,0,1,1,``fuel_diesel``,0,1,0
Input,SCOE Fraction Heat Energy Demand Electricity,Fraction of Heat Energy demand provided by electricity,``frac_scoe_heat_energy_$CAT-SCOE$_electricity``,,,,,,0,1,1,``fuel_electricity``,0,1,0
Input,SCOE Fraction Heat Energy Demand Gasoline,Fraction of Heat Energy demand provided by gasoline,``frac_scoe_heat_energy_$CAT-SCOE$_gasoline``,,,,,,0,1,1,``fuel_gasoline``,0,1,0
Input,SCOE Fraction Heat Energy Demand Hydrogen,Fraction of Heat Energy demand provided by hydrogen,``frac_scoe_heat_energy_$CAT-SCOE$_hydrogen``,,,,,,0,1,1,``fuel_hydrogen``,0,1,0
Input,SCOE Fraction Heat Energy Demand Kerosene,Fraction of Heat Energy demand provided by kerosene,``frac_scoe_heat_energy_$CAT-SCOE$_kerosene``,,,,,,0,1,1,``fuel_kerosene``,0,1,0
Input,SCOE Fraction Heat Energy Demand Natural Gas,Fraction of Heat Energy demand provided by natural gas,``frac_scoe_heat_energy_$CAT-SCOE$_natural_gas``,,,,,,0,1,1,``fuel_natural_gas``,0,1,0
Input,SCOE Fraction Heat Energy Demand Petroleum Liquid Gas,Fraction of Heat Energy demand provided by petroleum liquid gas.,``frac_scoe_heat_energy_$CAT-SCOE$_gas_petroleum_liquid``,,,,,,0,1,1,``fuel_gas_petroleum_liquid``,0,1,0
Input,SCOE Fraction Heat Energy Demand Solid Biomass,Fraction of Heat Energy demand provided by solid biomass.,``frac_scoe_heat_energy_$CAT-SCOE$_solid_biomass``,,,,,,0,1,1,``fuel_biomass``,0,1,0
Output,:math:`\text{CH}_4` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = ch4``),,,,,,1,1,1,none,0,0,1
Output,:math:`\text{CO}_2` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = co2``),,,,,,1,1,1,none,0,0,1
Output,:math:`\text{N}_2\text{O}` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = n2o``),,,,,,1,1,1,none,0,0,1
Output,Electrical Energy Demand from SCOE,,``energy_demand_scoe_electricity_$CAT-SCOE$``,,none,,,,1,1,1,none,0,0,0
Output,Non-Electrical Heat Energy Demand from SCOE,,``energy_demand_scoe_non_electric_heat_$CAT-SCOE$``,,none,,,,1,1,1,none,0,0,0
