id,r,t,l,y,val
74,1,solar,summerwd1,2020,0.0
75,1,solar,summerwd2,2020,0.0
76,1,solar,summerwd3,2020,0.0
77,1,solar,summerwd4,2020,0.0
78,1,solar,summerwd5,2020,0.0
79,1,solar,summerwd6,2020,1.0
80,1,solar,summerwd7,2020,1.0
81,1,solar,summerwd8,2020,1.0
82,1,solar,summerwd9,2020,1.0
83,1,solar,summerwd10,2020,1.0
84,1,solar,summerwd11,2020,1.0
85,1,solar,summerwd12,2020,1.0
86,1,solar,summerwd13,2020,1.0
87,1,solar,summerwd14,2020,1.0
88,1,solar,summerwd15,2020,1.0
89,1,solar,summerwd16,2020,1.0
90,1,solar,summerwd17,2020,1.0
91,1,solar,summerwd18,2020,0.0
92,1,solar,summerwd19,2020,0.0
93,1,solar,summerwd20,2020,0.0
94,1,solar,summerwd21,2020,0.0
95,1,solar,summerwd22,2020,0.0
96,1,solar,summerwd23,2020,0.0
97,1,solar,winterwe0,2021,0.0
98,1,solar,winterwe1,2021,0.0
99,1,solar,winterwe2,2021,0.0
100,1,solar,winterwe3,2021,0.0
101,1,solar,winterwe4,2021,0.0
102,1,solar,winterwe5,2021,0.0
103,1,solar,winterwe6,2021,1.0
104,1,solar,winterwe7,2021,1.0
105,1,solar,winterwe8,2021,1.0
106,1,solar,winterwe9,2021,1.0
107,1,solar,winterwe10,2021,1.0
108,1,solar,winterwe11,2021,1.0
109,1,solar,winterwe12,2021,1.0
110,1,solar,winterwe13,2021,1.0
111,1,solar,winterwe14,2021,1.0
112,1,solar,winterwe15,2021,1.0
113,1,solar,winterwe16,2021,1.0
114,1,solar,winterwe17,2021,1.0
115,1,solar,winterwe18,2021,0.0
116,1,solar,winterwe19,2021,0.0
117,1,solar,winterwe20,2021,0.0
118,1,solar,winterwe21,2021,0.0
119,1,solar,winterwe22,2021,0.0
120,1,solar,winterwe23,2021,0.0
121,1,solar,winterwd0,2021,0.0
122,1,solar,winterwd1,2021,0.0
123,1,solar,winterwd2,2021,0.0
124,1,solar,winterwd3,2021,0.0
125,1,solar,winterwd4,2021,0.0
126,1,solar,winterwd5,2021,0.0
127,1,solar,winterwd6,2021,1.0
128,1,solar,winterwd7,2021,1.0
129,1,solar,winterwd8,2021,1.0
130,1,solar,winterwd9,2021,1.0
131,1,solar,winterwd10,2021,1.0
132,1,solar,winterwd11,2021,1.0
133,1,solar,winterwd12,2021,1.0
134,1,solar,winterwd13,2021,1.0
135,1,solar,winterwd14,2021,1.0
136,1,solar,winterwd15,2021,1.0
137,1,solar,winterwd16,2021,1.0
138,1,solar,winterwd17,2021,1.0
139,1,solar,winterwd18,2021,0.0
140,1,solar,winterwd19,2021,0.0
141,1,solar,winterwd20,2021,0.0
142,1,solar,winterwd21,2021,0.0
143,1,solar,winterwd22,2021,0.0
144,1,solar,winterwd23,2021,0.0
145,1,solar,summerwe0,2021,0.0
146,1,solar,summerwe1,2021,0.0
147,1,solar,summerwe2,2021,0.0
148,1,solar,summerwe3,2021,0.0
149,1,solar,summerwe4,2021,0.0
150,1,solar,summerwe5,2021,0.0
151,1,solar,summerwe6,2021,1.0
152,1,solar,summerwe7,2021,1.0
153,1,solar,summerwe8,2021,1.0
154,1,solar,summerwe9,2021,1.0
155,1,solar,summerwe10,2021,1.0
156,1,solar,summerwe11,2021,1.0
157,1,solar,summerwe12,2021,1.0
158,1,solar,summerwe13,2021,1.0
159,1,solar,summerwe14,2021,1.0
160,1,solar,summerwe15,2021,1.0
161,1,solar,summerwe16,2021,1.0
162,1,solar,summerwe17,2021,1.0
163,1,solar,summerwe18,2021,0.0
164,1,solar,summerwe19,2021,0.0
165,1,solar,summerwe20,2021,0.0
166,1,solar,summerwe21,2021,0.0
167,1,solar,summerwe22,2021,0.0
168,1,solar,summerwe23,2021,0.0
169,1,solar,summerwd0,2021,0.0
170,1,solar,summerwd1,2021,0.0
171,1,solar,summerwd2,2021,0.0
172,1,solar,summerwd3,2021,0.0
173,1,solar,summerwd4,2021,0.0
174,1,solar,summerwd5,2021,0.0
175,1,solar,summerwd6,2021,1.0
176,1,solar,summerwd7,2021,1.0
177,1,solar,summerwd8,2021,1.0
178,1,solar,summerwd9,2021,1.0
179,1,solar,summerwd10,2021,1.0
180,1,solar,summerwd11,2021,1.0
181,1,solar,summerwd12,2021,1.0
182,1,solar,summerwd13,2021,1.0
183,1,solar,summerwd14,2021,1.0
184,1,solar,summerwd15,2021,1.0
185,1,solar,summerwd16,2021,1.0
186,1,solar,summerwd17,2021,1.0
187,1,solar,summerwd18,2021,0.0
188,1,solar,summerwd19,2021,0.0
189,1,solar,summerwd20,2021,0.0
190,1,solar,summerwd21,2021,0.0
191,1,solar,summerwd22,2021,0.0
192,1,solar,summerwd23,2021,0.0
193,1,solar,winterwe0,2022,0.0
194,1,solar,winterwe1,2022,0.0
195,1,solar,winterwe2,2022,0.0
196,1,solar,winterwe3,2022,0.0
197,1,solar,winterwe4,2022,0.0
198,1,solar,winterwe5,2022,0.0
199,1,solar,winterwe6,2022,1.0
200,1,solar,winterwe7,2022,1.0
201,1,solar,winterwe8,2022,1.0
202,1,solar,winterwe9,2022,1.0
203,1,solar,winterwe10,2022,1.0
204,1,solar,winterwe11,2022,1.0
205,1,solar,winterwe12,2022,1.0
206,1,solar,winterwe13,2022,1.0
207,1,solar,winterwe14,2022,1.0
208,1,solar,winterwe15,2022,1.0
209,1,solar,winterwe16,2022,1.0
210,1,solar,winterwe17,2022,1.0
211,1,solar,winterwe18,2022,0.0
212,1,solar,winterwe19,2022,0.0
213,1,solar,winterwe20,2022,0.0
214,1,solar,winterwe21,2022,0.0
215,1,solar,winterwe22,2022,0.0
216,1,solar,winterwe23,2022,0.0
217,1,solar,winterwd0,2022,0.0
218,1,solar,winterwd1,2022,0.0
219,1,solar,winterwd2,2022,0.0
220,1,solar,winterwd3,2022,0.0
221,1,solar,winterwd4,2022,0.0
222,1,solar,winterwd5,2022,0.0
223,1,solar,winterwd6,2022,1.0
224,1,solar,winterwd7,2022,1.0
225,1,solar,winterwd8,2022,1.0
226,1,solar,winterwd9,2022,1.0
227,1,solar,winterwd10,2022,1.0
228,1,solar,winterwd11,2022,1.0
229,1,solar,winterwd12,2022,1.0
230,1,solar,winterwd13,2022,1.0
231,1,solar,winterwd14,2022,1.0
232,1,solar,winterwd15,2022,1.0
233,1,solar,winterwd16,2022,1.0
234,1,solar,winterwd17,2022,1.0
235,1,solar,winterwd18,2022,0.0
236,1,solar,winterwd19,2022,0.0
237,1,solar,winterwd20,2022,0.0
238,1,solar,winterwd21,2022,0.0
239,1,solar,winterwd22,2022,0.0
240,1,solar,winterwd23,2022,0.0
241,1,solar,summerwe0,2022,0.0
242,1,solar,summerwe1,2022,0.0
243,1,solar,summerwe2,2022,0.0
244,1,solar,summerwe3,2022,0.0
245,1,solar,summerwe4,2022,0.0
246,1,solar,summerwe5,2022,0.0
247,1,solar,summerwe6,2022,1.0
248,1,solar,summerwe7,2022,1.0
249,1,solar,summerwe8,2022,1.0
250,1,solar,summerwe9,2022,1.0
251,1,solar,summerwe10,2022,1.0
252,1,solar,summerwe11,2022,1.0
253,1,solar,summerwe12,2022,1.0
254,1,solar,summerwe13,2022,1.0
255,1,solar,summerwe14,2022,1.0
256,1,solar,summerwe15,2022,1.0
257,1,solar,summerwe16,2022,1.0
258,1,solar,summerwe17,2022,1.0
259,1,solar,summerwe18,2022,0.0
260,1,solar,summerwe19,2022,0.0
261,1,solar,summerwe20,2022,0.0
262,1,solar,summerwe21,2022,0.0
263,1,solar,summerwe22,2022,0.0
264,1,solar,summerwe23,2022,0.0
265,1,solar,summerwd0,2022,0.0
266,1,solar,summerwd1,2022,0.0
267,1,solar,summerwd2,2022,0.0
268,1,solar,summerwd3,2022,0.0
269,1,solar,summerwd4,2022,0.0
270,1,solar,summerwd5,2022,0.0
271,1,solar,summerwd6,2022,1.0
272,1,solar,summerwd7,2022,1.0
273,1,solar,summerwd8,2022,1.0
274,1,solar,summerwd9,2022,1.0
275,1,solar,summerwd10,2022,1.0
276,1,solar,summerwd11,2022,1.0
277,1,solar,summerwd12,2022,1.0
278,1,solar,summerwd13,2022,1.0
279,1,solar,summerwd14,2022,1.0
280,1,solar,summerwd15,2022,1.0
281,1,solar,summerwd16,2022,1.0
282,1,solar,summerwd17,2022,1.0
283,1,solar,summerwd18,2022,0.0
284,1,solar,summerwd19,2022,0.0
285,1,solar,summerwd20,2022,0.0
286,1,solar,summerwd21,2022,0.0
287,1,solar,summerwd22,2022,0.0
288,1,solar,summerwd23,2022,0.0
289,1,solar,winterwe0,2023,0.0
290,1,solar,winterwe1,2023,0.0
291,1,solar,winterwe2,2023,0.0
292,1,solar,winterwe3,2023,0.0
293,1,solar,winterwe4,2023,0.0
294,1,solar,winterwe5,2023,0.0
295,1,solar,winterwe6,2023,1.0
296,1,solar,winterwe7,2023,1.0
297,1,solar,winterwe8,2023,1.0
298,1,solar,winterwe9,2023,1.0
299,1,solar,winterwe10,2023,1.0
300,1,solar,winterwe11,2023,1.0
301,1,solar,winterwe12,2023,1.0
302,1,solar,winterwe13,2023,1.0
303,1,solar,winterwe14,2023,1.0
304,1,solar,winterwe15,2023,1.0
305,1,solar,winterwe16,2023,1.0
306,1,solar,winterwe17,2023,1.0
307,1,solar,winterwe18,2023,0.0
308,1,solar,winterwe19,2023,0.0
309,1,solar,winterwe20,2023,0.0
310,1,solar,winterwe21,2023,0.0
311,1,solar,winterwe22,2023,0.0
312,1,solar,winterwe23,2023,0.0
313,1,solar,winterwd0,2023,0.0
314,1,solar,winterwd1,2023,0.0
315,1,solar,winterwd2,2023,0.0
316,1,solar,winterwd3,2023,0.0
317,1,solar,winterwd4,2023,0.0
318,1,solar,winterwd5,2023,0.0
319,1,solar,winterwd6,2023,1.0
320,1,solar,winterwd7,2023,1.0
321,1,solar,winterwd8,2023,1.0
322,1,solar,winterwd9,2023,1.0
323,1,solar,winterwd10,2023,1.0
324,1,solar,winterwd11,2023,1.0
325,1,solar,winterwd12,2023,1.0
326,1,solar,winterwd13,2023,1.0
327,1,solar,winterwd14,2023,1.0
328,1,solar,winterwd15,2023,1.0
329,1,solar,winterwd16,2023,1.0
330,1,solar,winterwd17,2023,1.0
331,1,solar,winterwd18,2023,0.0
332,1,solar,winterwd19,2023,0.0
333,1,solar,winterwd20,2023,0.0
334,1,solar,winterwd21,2023,0.0
335,1,solar,winterwd22,2023,0.0
336,1,solar,winterwd23,2023,0.0
337,1,solar,summerwe0,2023,0.0
338,1,solar,summerwe1,2023,0.0
339,1,solar,summerwe2,2023,0.0
340,1,solar,summerwe3,2023,0.0
341,1,solar,summerwe4,2023,0.0
342,1,solar,summerwe5,2023,0.0
343,1,solar,summerwe6,2023,1.0
344,1,solar,summerwe7,2023,1.0
345,1,solar,summerwe8,2023,1.0
346,1,solar,summerwe9,2023,1.0
347,1,solar,summerwe10,2023,1.0
348,1,solar,summerwe11,2023,1.0
349,1,solar,summerwe12,2023,1.0
350,1,solar,summerwe13,2023,1.0
351,1,solar,summerwe14,2023,1.0
352,1,solar,summerwe15,2023,1.0
353,1,solar,summerwe16,2023,1.0
354,1,solar,summerwe17,2023,1.0
355,1,solar,summerwe18,2023,0.0
356,1,solar,summerwe19,2023,0.0
357,1,solar,summerwe20,2023,0.0
358,1,solar,summerwe21,2023,0.0
359,1,solar,summerwe22,2023,0.0
360,1,solar,summerwe23,2023,0.0
361,1,solar,summerwd0,2023,0.0
362,1,solar,summerwd1,2023,0.0
363,1,solar,summerwd2,2023,0.0
364,1,solar,summerwd3,2023,0.0
365,1,solar,summerwd4,2023,0.0
366,1,solar,summerwd5,2023,0.0
367,1,solar,summerwd6,2023,1.0
368,1,solar,summerwd7,2023,1.0
369,1,solar,summerwd8,2023,1.0
370,1,solar,summerwd9,2023,1.0
371,1,solar,summerwd10,2023,1.0
372,1,solar,summerwd11,2023,1.0
373,1,solar,summerwd12,2023,1.0
374,1,solar,summerwd13,2023,1.0
375,1,solar,summerwd14,2023,1.0
376,1,solar,summerwd15,2023,1.0
377,1,solar,summerwd16,2023,1.0
378,1,solar,summerwd17,2023,1.0
379,1,solar,summerwd18,2023,0.0
380,1,solar,summerwd19,2023,0.0
381,1,solar,summerwd20,2023,0.0
382,1,solar,summerwd21,2023,0.0
383,1,solar,summerwd22,2023,0.0
384,1,solar,summerwd23,2023,0.0
385,1,solar,winterwe0,2024,0.0
386,1,solar,winterwe1,2024,0.0
387,1,solar,winterwe2,2024,0.0
388,1,solar,winterwe3,2024,0.0
389,1,solar,winterwe4,2024,0.0
390,1,solar,winterwe5,2024,0.0
391,1,solar,winterwe6,2024,1.0
392,1,solar,winterwe7,2024,1.0
393,1,solar,winterwe8,2024,1.0
394,1,solar,winterwe9,2024,1.0
395,1,solar,winterwe10,2024,1.0
396,1,solar,winterwe11,2024,1.0
397,1,solar,winterwe12,2024,1.0
398,1,solar,winterwe13,2024,1.0
399,1,solar,winterwe14,2024,1.0
400,1,solar,winterwe15,2024,1.0
401,1,solar,winterwe16,2024,1.0
402,1,solar,winterwe17,2024,1.0
403,1,solar,winterwe18,2024,0.0
404,1,solar,winterwe19,2024,0.0
405,1,solar,winterwe20,2024,0.0
406,1,solar,winterwe21,2024,0.0
407,1,solar,winterwe22,2024,0.0
408,1,solar,winterwe23,2024,0.0
409,1,solar,winterwd0,2024,0.0
410,1,solar,winterwd1,2024,0.0
411,1,solar,winterwd2,2024,0.0
412,1,solar,winterwd3,2024,0.0
413,1,solar,winterwd4,2024,0.0
414,1,solar,winterwd5,2024,0.0
415,1,solar,winterwd6,2024,1.0
416,1,solar,winterwd7,2024,1.0
417,1,solar,winterwd8,2024,1.0
418,1,solar,winterwd9,2024,1.0
419,1,solar,winterwd10,2024,1.0
420,1,solar,winterwd11,2024,1.0
421,1,solar,winterwd12,2024,1.0
422,1,solar,winterwd13,2024,1.0
423,1,solar,winterwd14,2024,1.0
424,1,solar,winterwd15,2024,1.0
425,1,solar,winterwd16,2024,1.0
426,1,solar,winterwd17,2024,1.0
427,1,solar,winterwd18,2024,0.0
428,1,solar,winterwd19,2024,0.0
429,1,solar,winterwd20,2024,0.0
430,1,solar,winterwd21,2024,0.0
431,1,solar,winterwd22,2024,0.0
432,1,solar,winterwd23,2024,0.0
433,1,solar,summerwe0,2024,0.0
434,1,solar,summerwe1,2024,0.0
435,1,solar,summerwe2,2024,0.0
436,1,solar,summerwe3,2024,0.0
437,1,solar,summerwe4,2024,0.0
438,1,solar,summerwe5,2024,0.0
439,1,solar,summerwe6,2024,1.0
440,1,solar,summerwe7,2024,1.0
441,1,solar,summerwe8,2024,1.0
442,1,solar,summerwe9,2024,1.0
443,1,solar,summerwe10,2024,1.0
444,1,solar,summerwe11,2024,1.0
445,1,solar,summerwe12,2024,1.0
446,1,solar,summerwe13,2024,1.0
447,1,solar,summerwe14,2024,1.0
448,1,solar,summerwe15,2024,1.0
449,1,solar,summerwe16,2024,1.0
450,1,solar,summerwe17,2024,1.0
451,1,solar,summerwe18,2024,0.0
452,1,solar,summerwe19,2024,0.0
453,1,solar,summerwe20,2024,0.0
454,1,solar,summerwe21,2024,0.0
455,1,solar,summerwe22,2024,0.0
456,1,solar,summerwe23,2024,0.0
457,1,solar,summerwd0,2024,0.0
458,1,solar,summerwd1,2024,0.0
459,1,solar,summerwd2,2024,0.0
460,1,solar,summerwd3,2024,0.0
461,1,solar,summerwd4,2024,0.0
462,1,solar,summerwd5,2024,0.0
463,1,solar,summerwd6,2024,1.0
464,1,solar,summerwd7,2024,1.0
465,1,solar,summerwd8,2024,1.0
466,1,solar,summerwd9,2024,1.0
467,1,solar,summerwd10,2024,1.0
468,1,solar,summerwd11,2024,1.0
469,1,solar,summerwd12,2024,1.0
470,1,solar,summerwd13,2024,1.0
471,1,solar,summerwd14,2024,1.0
472,1,solar,summerwd15,2024,1.0
473,1,solar,summerwd16,2024,1.0
474,1,solar,summerwd17,2024,1.0
475,1,solar,summerwd18,2024,0.0
476,1,solar,summerwd19,2024,0.0
477,1,solar,summerwd20,2024,0.0
478,1,solar,summerwd21,2024,0.0
479,1,solar,summerwd22,2024,0.0
480,1,solar,summerwd23,2024,0.0
481,1,solar,winterwe0,2025,0.0
482,1,solar,winterwe1,2025,0.0
483,1,solar,winterwe2,2025,0.0
484,1,solar,winterwe3,2025,0.0
485,1,solar,winterwe4,2025,0.0
486,1,solar,winterwe5,2025,0.0
487,1,solar,winterwe6,2025,1.0
488,1,solar,winterwe7,2025,1.0
489,1,solar,winterwe8,2025,1.0
490,1,solar,winterwe9,2025,1.0
491,1,solar,winterwe10,2025,1.0
492,1,solar,winterwe11,2025,1.0
493,1,solar,winterwe12,2025,1.0
494,1,solar,winterwe13,2025,1.0
495,1,solar,winterwe14,2025,1.0
496,1,solar,winterwe15,2025,1.0
497,1,solar,winterwe16,2025,1.0
498,1,solar,winterwe17,2025,1.0
499,1,solar,winterwe18,2025,0.0
500,1,solar,winterwe19,2025,0.0
501,1,solar,winterwe20,2025,0.0
502,1,solar,winterwe21,2025,0.0
503,1,solar,winterwe22,2025,0.0
504,1,solar,winterwe23,2025,0.0
505,1,solar,winterwd0,2025,0.0
506,1,solar,winterwd1,2025,0.0
507,1,solar,winterwd2,2025,0.0
508,1,solar,winterwd3,2025,0.0
509,1,solar,winterwd4,2025,0.0
510,1,solar,winterwd5,2025,0.0
511,1,solar,winterwd6,2025,1.0
512,1,solar,winterwd7,2025,1.0
513,1,solar,winterwd8,2025,1.0
514,1,solar,winterwd9,2025,1.0
515,1,solar,winterwd10,2025,1.0
516,1,solar,winterwd11,2025,1.0
517,1,solar,winterwd12,2025,1.0
518,1,solar,winterwd13,2025,1.0
519,1,solar,winterwd14,2025,1.0
520,1,solar,winterwd15,2025,1.0
521,1,solar,winterwd16,2025,1.0
522,1,solar,winterwd17,2025,1.0
523,1,solar,winterwd18,2025,0.0
524,1,solar,winterwd19,2025,0.0
525,1,solar,winterwd20,2025,0.0
526,1,solar,winterwd21,2025,0.0
527,1,solar,winterwd22,2025,0.0
528,1,solar,winterwd23,2025,0.0
529,1,solar,summerwe0,2025,0.0
530,1,solar,summerwe1,2025,0.0
531,1,solar,summerwe2,2025,0.0
532,1,solar,summerwe3,2025,0.0
533,1,solar,summerwe4,2025,0.0
534,1,solar,summerwe5,2025,0.0
535,1,solar,summerwe6,2025,1.0
536,1,solar,summerwe7,2025,1.0
537,1,solar,summerwe8,2025,1.0
538,1,solar,summerwe9,2025,1.0
539,1,solar,summerwe10,2025,1.0
540,1,solar,summerwe11,2025,1.0
541,1,solar,summerwe12,2025,1.0
542,1,solar,summerwe13,2025,1.0
543,1,solar,summerwe14,2025,1.0
544,1,solar,summerwe15,2025,1.0
545,1,solar,summerwe16,2025,1.0
546,1,solar,summerwe17,2025,1.0
547,1,solar,summerwe18,2025,0.0
548,1,solar,summerwe19,2025,0.0
549,1,solar,summerwe20,2025,0.0
550,1,solar,summerwe21,2025,0.0
551,1,solar,summerwe22,2025,0.0
552,1,solar,summerwe23,2025,0.0
553,1,solar,summerwd0,2025,0.0
554,1,solar,summerwd1,2025,0.0
555,1,solar,summerwd2,2025,0.0
556,1,solar,summerwd3,2025,0.0
557,1,solar,summerwd4,2025,0.0
558,1,solar,summerwd5,2025,0.0
559,1,solar,summerwd6,2025,1.0
560,1,solar,summerwd7,2025,1.0
561,1,solar,summerwd8,2025,1.0
562,1,solar,summerwd9,2025,1.0
563,1,solar,summerwd10,2025,1.0
564,1,solar,summerwd11,2025,1.0
565,1,solar,summerwd12,2025,1.0
566,1,solar,summerwd13,2025,1.0
567,1,solar,summerwd14,2025,1.0
568,1,solar,summerwd15,2025,1.0
569,1,solar,summerwd16,2025,1.0
570,1,solar,summerwd17,2025,1.0
571,1,solar,summerwd18,2025,0.0
572,1,solar,summerwd19,2025,0.0
573,1,solar,summerwd20,2025,0.0
574,1,solar,summerwd21,2025,0.0
575,1,solar,summerwd22,2025,0.0
576,1,solar,summerwd23,2025,0.0
577,1,solar,winterwe0,2026,0.0
578,1,solar,winterwe1,2026,0.0
579,1,solar,winterwe2,2026,0.0
580,1,solar,winterwe3,2026,0.0
581,1,solar,winterwe4,2026,0.0
582,1,solar,winterwe5,2026,0.0
583,1,solar,winterwe6,2026,1.0
584,1,solar,winterwe7,2026,1.0
585,1,solar,winterwe8,2026,1.0
586,1,solar,winterwe9,2026,1.0
587,1,solar,winterwe10,2026,1.0
588,1,solar,winterwe11,2026,1.0
589,1,solar,winterwe12,2026,1.0
590,1,solar,winterwe13,2026,1.0
591,1,solar,winterwe14,2026,1.0
592,1,solar,winterwe15,2026,1.0
593,1,solar,winterwe16,2026,1.0
594,1,solar,winterwe17,2026,1.0
595,1,solar,winterwe18,2026,0.0
596,1,solar,winterwe19,2026,0.0
597,1,solar,winterwe20,2026,0.0
598,1,solar,winterwe21,2026,0.0
599,1,solar,winterwe22,2026,0.0
600,1,solar,winterwe23,2026,0.0
601,1,solar,winterwd0,2026,0.0
602,1,solar,winterwd1,2026,0.0
603,1,solar,winterwd2,2026,0.0
604,1,solar,winterwd3,2026,0.0
605,1,solar,winterwd4,2026,0.0
606,1,solar,winterwd5,2026,0.0
607,1,solar,winterwd6,2026,1.0
608,1,solar,winterwd7,2026,1.0
609,1,solar,winterwd8,2026,1.0
610,1,solar,winterwd9,2026,1.0
611,1,solar,winterwd10,2026,1.0
612,1,solar,winterwd11,2026,1.0
613,1,solar,winterwd12,2026,1.0
614,1,solar,winterwd13,2026,1.0
615,1,solar,winterwd14,2026,1.0
616,1,solar,winterwd15,2026,1.0
617,1,solar,winterwd16,2026,1.0
618,1,solar,winterwd17,2026,1.0
619,1,solar,winterwd18,2026,0.0
620,1,solar,winterwd19,2026,0.0
621,1,solar,winterwd20,2026,0.0
622,1,solar,winterwd21,2026,0.0
623,1,solar,winterwd22,2026,0.0
624,1,solar,winterwd23,2026,0.0
625,1,solar,summerwe0,2026,0.0
626,1,solar,summerwe1,2026,0.0
627,1,solar,summerwe2,2026,0.0
628,1,solar,summerwe3,2026,0.0
629,1,solar,summerwe4,2026,0.0
630,1,solar,summerwe5,2026,0.0
631,1,solar,summerwe6,2026,1.0
632,1,solar,summerwe7,2026,1.0
633,1,solar,summerwe8,2026,1.0
634,1,solar,summerwe9,2026,1.0
635,1,solar,summerwe10,2026,1.0
636,1,solar,summerwe11,2026,1.0
637,1,solar,summerwe12,2026,1.0
638,1,solar,summerwe13,2026,1.0
639,1,solar,summerwe14,2026,1.0
640,1,solar,summerwe15,2026,1.0
641,1,solar,summerwe16,2026,1.0
642,1,solar,summerwe17,2026,1.0
643,1,solar,summerwe18,2026,0.0
644,1,solar,summerwe19,2026,0.0
645,1,solar,summerwe20,2026,0.0
646,1,solar,summerwe21,2026,0.0
647,1,solar,summerwe22,2026,0.0
648,1,solar,summerwe23,2026,0.0
649,1,solar,summerwd0,2026,0.0
650,1,solar,summerwd1,2026,0.0
651,1,solar,summerwd2,2026,0.0
652,1,solar,summerwd3,2026,0.0
653,1,solar,summerwd4,2026,0.0
654,1,solar,summerwd5,2026,0.0
655,1,solar,summerwd6,2026,1.0
656,1,solar,summerwd7,2026,1.0
657,1,solar,summerwd8,2026,1.0
658,1,solar,summerwd9,2026,1.0
659,1,solar,summerwd10,2026,1.0
660,1,solar,summerwd11,2026,1.0
661,1,solar,summerwd12,2026,1.0
662,1,solar,summerwd13,2026,1.0
663,1,solar,summerwd14,2026,1.0
664,1,solar,summerwd15,2026,1.0
665,1,solar,summerwd16,2026,1.0
666,1,solar,summerwd17,2026,1.0
667,1,solar,summerwd18,2026,0.0
668,1,solar,summerwd19,2026,0.0
669,1,solar,summerwd20,2026,0.0
670,1,solar,summerwd21,2026,0.0
671,1,solar,summerwd22,2026,0.0
672,1,solar,summerwd23,2026,0.0
673,1,solar,winterwe0,2027,0.0
674,1,solar,winterwe1,2027,0.0
675,1,solar,winterwe2,2027,0.0
676,1,solar,winterwe3,2027,0.0
677,1,solar,winterwe4,2027,0.0
678,1,solar,winterwe5,2027,0.0
679,1,solar,winterwe6,2027,1.0
680,1,solar,winterwe7,2027,1.0
681,1,solar,winterwe8,2027,1.0
682,1,solar,winterwe9,2027,1.0
683,1,solar,winterwe10,2027,1.0
684,1,solar,winterwe11,2027,1.0
685,1,solar,winterwe12,2027,1.0
686,1,solar,winterwe13,2027,1.0
687,1,solar,winterwe14,2027,1.0
688,1,solar,winterwe15,2027,1.0
689,1,solar,winterwe16,2027,1.0
690,1,solar,winterwe17,2027,1.0
691,1,solar,winterwe18,2027,0.0
692,1,solar,winterwe19,2027,0.0
693,1,solar,winterwe20,2027,0.0
694,1,solar,winterwe21,2027,0.0
695,1,solar,winterwe22,2027,0.0
696,1,solar,winterwe23,2027,0.0
697,1,solar,winterwd0,2027,0.0
698,1,solar,winterwd1,2027,0.0
