id,r,f,l,y,val
129,1,electricity,winterwd8,2021,0.014880952
130,1,electricity,winterwd9,2021,0.014880952
131,1,electricity,winterwd10,2021,0.014880952
132,1,electricity,winterwd11,2021,0.014880952
133,1,electricity,winterwd12,2021,0.014880952
134,1,electricity,winterwd13,2021,0.014880952
135,1,electricity,winterwd14,2021,0.014880952
136,1,electricity,winterwd15,2021,0.014880952
137,1,electricity,winterwd16,2021,0.014880952
138,1,electricity,winterwd17,2021,0.014880952
139,1,electricity,winterwd18,2021,0.014880952
140,1,electricity,winterwd19,2021,0.014880952
141,1,electricity,winterwd20,2021,0.014880952
142,1,electricity,winterwd21,2021,0.014880952
143,1,electricity,winterwd22,2021,0.014880952
144,1,electricity,winterwd23,2021,0.014880952
145,1,electricity,summerwe0,2021,0.005952381
146,1,electricity,summerwe1,2021,0.005952381
147,1,electricity,summerwe2,2021,0.005952381
148,1,electricity,summerwe3,2021,0.005952381
149,1,electricity,summerwe4,2021,0.005952381
150,1,electricity,summerwe5,2021,0.005952381
151,1,electricity,summerwe6,2021,0.005952381
152,1,electricity,summerwe7,2021,0.005952381
153,1,electricity,summerwe8,2021,0.005952381
154,1,electricity,summerwe9,2021,0.005952381
155,1,electricity,summerwe10,2021,0.005952381
156,1,electricity,summerwe11,2021,0.005952381
157,1,electricity,summerwe12,2021,0.005952381
158,1,electricity,summerwe13,2021,0.005952381
159,1,electricity,summerwe14,2021,0.005952381
160,1,electricity,summerwe15,2021,0.005952381
161,1,electricity,summerwe16,2021,0.005952381
162,1,electricity,summerwe17,2021,0.005952381
163,1,electricity,summerwe18,2021,0.005952381
164,1,electricity,summerwe19,2021,0.005952381
165,1,electricity,summerwe20,2021,0.005952381
166,1,electricity,summerwe21,2021,0.005952381
167,1,electricity,summerwe22,2021,0.005952381
168,1,electricity,summerwe23,2021,0.005952381
169,1,electricity,summerwd0,2021,0.014880952
170,1,electricity,summerwd1,2021,0.014880952
171,1,electricity,summerwd2,2021,0.014880952
172,1,electricity,summerwd3,2021,0.014880952
173,1,electricity,summerwd4,2021,0.014880952
174,1,electricity,summerwd5,2021,0.014880952
175,1,electricity,summerwd6,2021,0.014880952
176,1,electricity,summerwd7,2021,0.014880952
177,1,electricity,summerwd8,2021,0.014880952
178,1,electricity,summerwd9,2021,0.014880952
179,1,electricity,summerwd10,2021,0.014880952
180,1,electricity,summerwd11,2021,0.014880952
181,1,electricity,summerwd12,2021,0.014880952
182,1,electricity,summerwd13,2021,0.014880952
183,1,electricity,summerwd14,2021,0.014880952
184,1,electricity,summerwd15,2021,0.014880952
185,1,electricity,summerwd16,2021,0.014880952
186,1,electricity,summerwd17,2021,0.014880952
187,1,electricity,summerwd18,2021,0.014880952
188,1,electricity,summerwd19,2021,0.014880952
189,1,electricity,summerwd20,2021,0.014880952
190,1,electricity,summerwd21,2021,0.014880952
191,1,electricity,summerwd22,2021,0.014880952
192,1,electricity,summerwd23,2021,0.0148809680000023
193,1,electricity,winterwe0,2022,0.005952381
194,1,electricity,winterwe1,2022,0.005952381
195,1,electricity,winterwe2,2022,0.005952381
196,1,electricity,winterwe3,2022,0.005952381
197,1,electricity,winterwe4,2022,0.005952381
198,1,electricity,winterwe5,2022,0.005952381
199,1,electricity,winterwe6,2022,0.005952381
200,1,electricity,winterwe7,2022,0.005952381
201,1,electricity,winterwe8,2022,0.005952381
202,1,electricity,winterwe9,2022,0.005952381
203,1,electricity,winterwe10,2022,0.005952381
204,1,electricity,winterwe11,2022,0.005952381
205,1,electricity,winterwe12,2022,0.005952381
206,1,electricity,winterwe13,2022,0.005952381
207,1,electricity,winterwe14,2022,0.005952381
208,1,electricity,winterwe15,2022,0.005952381
209,1,electricity,winterwe16,2022,0.005952381
210,1,electricity,winterwe17,2022,0.005952381
211,1,electricity,winterwe18,2022,0.005952381
212,1,electricity,winterwe19,2022,0.005952381
213,1,electricity,winterwe20,2022,0.005952381
214,1,electricity,winterwe21,2022,0.005952381
215,1,electricity,winterwe22,2022,0.005952381
216,1,electricity,winterwe23,2022,0.005952381
217,1,electricity,winterwd0,2022,0.014880952
218,1,electricity,winterwd1,2022,0.014880952
219,1,electricity,winterwd2,2022,0.014880952
220,1,electricity,winterwd3,2022,0.014880952
221,1,electricity,winterwd4,2022,0.014880952
222,1,electricity,winterwd5,2022,0.014880952
223,1,electricity,winterwd6,2022,0.014880952
224,1,electricity,winterwd7,2022,0.014880952
225,1,electricity,winterwd8,2022,0.014880952
226,1,electricity,winterwd9,2022,0.014880952
227,1,electricity,winterwd10,2022,0.014880952
228,1,electricity,winterwd11,2022,0.014880952
229,1,electricity,winterwd12,2022,0.014880952
230,1,electricity,winterwd13,2022,0.014880952
231,1,electricity,winterwd14,2022,0.014880952
232,1,electricity,winterwd15,2022,0.014880952
233,1,electricity,winterwd16,2022,0.014880952
234,1,electricity,winterwd17,2022,0.014880952
235,1,electricity,winterwd18,2022,0.014880952
236,1,electricity,winterwd19,2022,0.014880952
237,1,electricity,winterwd20,2022,0.014880952
238,1,electricity,winterwd21,2022,0.014880952
239,1,electricity,winterwd22,2022,0.014880952
240,1,electricity,winterwd23,2022,0.014880952
241,1,electricity,summerwe0,2022,0.005952381
242,1,electricity,summerwe1,2022,0.005952381
243,1,electricity,summerwe2,2022,0.005952381
244,1,electricity,summerwe3,2022,0.005952381
245,1,electricity,summerwe4,2022,0.005952381
246,1,electricity,summerwe5,2022,0.005952381
247,1,electricity,summerwe6,2022,0.005952381
248,1,electricity,summerwe7,2022,0.005952381
249,1,electricity,summerwe8,2022,0.005952381
250,1,electricity,summerwe9,2022,0.005952381
251,1,electricity,summerwe10,2022,0.005952381
252,1,electricity,summerwe11,2022,0.005952381
253,1,electricity,summerwe12,2022,0.005952381
254,1,electricity,summerwe13,2022,0.005952381
255,1,electricity,summerwe14,2022,0.005952381
256,1,electricity,summerwe15,2022,0.005952381
257,1,electricity,summerwe16,2022,0.005952381
258,1,electricity,summerwe17,2022,0.005952381
259,1,electricity,summerwe18,2022,0.005952381
260,1,electricity,summerwe19,2022,0.005952381
261,1,electricity,summerwe20,2022,0.005952381
262,1,electricity,summerwe21,2022,0.005952381
263,1,electricity,summerwe22,2022,0.005952381
264,1,electricity,summerwe23,2022,0.005952381
265,1,electricity,summerwd0,2022,0.014880952
266,1,electricity,summerwd1,2022,0.014880952
267,1,electricity,summerwd2,2022,0.014880952
268,1,electricity,summerwd3,2022,0.014880952
269,1,electricity,summerwd4,2022,0.014880952
270,1,electricity,summerwd5,2022,0.014880952
271,1,electricity,summerwd6,2022,0.014880952
272,1,electricity,summerwd7,2022,0.014880952
273,1,electricity,summerwd8,2022,0.014880952
274,1,electricity,summerwd9,2022,0.014880952
275,1,electricity,summerwd10,2022,0.014880952
276,1,electricity,summerwd11,2022,0.014880952
277,1,electricity,summerwd12,2022,0.014880952
278,1,electricity,summerwd13,2022,0.014880952
279,1,electricity,summerwd14,2022,0.014880952
280,1,electricity,summerwd15,2022,0.014880952
281,1,electricity,summerwd16,2022,0.014880952
282,1,electricity,summerwd17,2022,0.014880952
283,1,electricity,summerwd18,2022,0.014880952
284,1,electricity,summerwd19,2022,0.014880952
285,1,electricity,summerwd20,2022,0.014880952
286,1,electricity,summerwd21,2022,0.014880952
287,1,electricity,summerwd22,2022,0.014880952
288,1,electricity,summerwd23,2022,0.0148809680000023
289,1,electricity,winterwe0,2023,0.005952381
290,1,electricity,winterwe1,2023,0.005952381
291,1,electricity,winterwe2,2023,0.005952381
292,1,electricity,winterwe3,2023,0.005952381
293,1,electricity,winterwe4,2023,0.005952381
294,1,electricity,winterwe5,2023,0.005952381
295,1,electricity,winterwe6,2023,0.005952381
296,1,electricity,winterwe7,2023,0.005952381
297,1,electricity,winterwe8,2023,0.005952381
298,1,electricity,winterwe9,2023,0.005952381
299,1,electricity,winterwe10,2023,0.005952381
300,1,electricity,winterwe11,2023,0.005952381
301,1,electricity,winterwe12,2023,0.005952381
302,1,electricity,winterwe13,2023,0.005952381
303,1,electricity,winterwe14,2023,0.005952381
304,1,electricity,winterwe15,2023,0.005952381
305,1,electricity,winterwe16,2023,0.005952381
306,1,electricity,winterwe17,2023,0.005952381
307,1,electricity,winterwe18,2023,0.005952381
308,1,electricity,winterwe19,2023,0.005952381
309,1,electricity,winterwe20,2023,0.005952381
310,1,electricity,winterwe21,2023,0.005952381
311,1,electricity,winterwe22,2023,0.005952381
312,1,electricity,winterwe23,2023,0.005952381
313,1,electricity,winterwd0,2023,0.014880952
314,1,electricity,winterwd1,2023,0.014880952
315,1,electricity,winterwd2,2023,0.014880952
316,1,electricity,winterwd3,2023,0.014880952
317,1,electricity,winterwd4,2023,0.014880952
318,1,electricity,winterwd5,2023,0.014880952
319,1,electricity,winterwd6,2023,0.014880952
320,1,electricity,winterwd7,2023,0.014880952
321,1,electricity,winterwd8,2023,0.014880952
322,1,electricity,winterwd9,2023,0.014880952
323,1,electricity,winterwd10,2023,0.014880952
324,1,electricity,winterwd11,2023,0.014880952
325,1,electricity,winterwd12,2023,0.014880952
326,1,electricity,winterwd13,2023,0.014880952
327,1,electricity,winterwd14,2023,0.014880952
328,1,electricity,winterwd15,2023,0.014880952
329,1,electricity,winterwd16,2023,0.014880952
330,1,electricity,winterwd17,2023,0.014880952
331,1,electricity,winterwd18,2023,0.014880952
332,1,electricity,winterwd19,2023,0.014880952
333,1,electricity,winterwd20,2023,0.014880952
334,1,electricity,winterwd21,2023,0.014880952
335,1,electricity,winterwd22,2023,0.014880952
336,1,electricity,winterwd23,2023,0.014880952
337,1,electricity,summerwe0,2023,0.005952381
338,1,electricity,summerwe1,2023,0.005952381
339,1,electricity,summerwe2,2023,0.005952381
340,1,electricity,summerwe3,2023,0.005952381
341,1,electricity,summerwe4,2023,0.005952381
342,1,electricity,summerwe5,2023,0.005952381
343,1,electricity,summerwe6,2023,0.005952381
344,1,electricity,summerwe7,2023,0.005952381
345,1,electricity,summerwe8,2023,0.005952381
346,1,electricity,summerwe9,2023,0.005952381
347,1,electricity,summerwe10,2023,0.005952381
348,1,electricity,summerwe11,2023,0.005952381
349,1,electricity,summerwe12,2023,0.005952381
350,1,electricity,summerwe13,2023,0.005952381
351,1,electricity,summerwe14,2023,0.005952381
352,1,electricity,summerwe15,2023,0.005952381
353,1,electricity,summerwe16,2023,0.005952381
354,1,electricity,summerwe17,2023,0.005952381
355,1,electricity,summerwe18,2023,0.005952381
356,1,electricity,summerwe19,2023,0.005952381
357,1,electricity,summerwe20,2023,0.005952381
358,1,electricity,summerwe21,2023,0.005952381
359,1,electricity,summerwe22,2023,0.005952381
360,1,electricity,summerwe23,2023,0.005952381
361,1,electricity,summerwd0,2023,0.014880952
362,1,electricity,summerwd1,2023,0.014880952
363,1,electricity,summerwd2,2023,0.014880952
364,1,electricity,summerwd3,2023,0.014880952
365,1,electricity,summerwd4,2023,0.014880952
366,1,electricity,summerwd5,2023,0.014880952
367,1,electricity,summerwd6,2023,0.014880952
368,1,electricity,summerwd7,2023,0.014880952
369,1,electricity,summerwd8,2023,0.014880952
370,1,electricity,summerwd9,2023,0.014880952
371,1,electricity,summerwd10,2023,0.014880952
372,1,electricity,summerwd11,2023,0.014880952
373,1,electricity,summerwd12,2023,0.014880952
374,1,electricity,summerwd13,2023,0.014880952
375,1,electricity,summerwd14,2023,0.014880952
376,1,electricity,summerwd15,2023,0.014880952
377,1,electricity,summerwd16,2023,0.014880952
378,1,electricity,summerwd17,2023,0.014880952
379,1,electricity,summerwd18,2023,0.014880952
380,1,electricity,summerwd19,2023,0.014880952
381,1,electricity,summerwd20,2023,0.014880952
382,1,electricity,summerwd21,2023,0.014880952
383,1,electricity,summerwd22,2023,0.014880952
384,1,electricity,summerwd23,2023,0.0148809680000023
385,1,electricity,winterwe0,2024,0.005952381
386,1,electricity,winterwe1,2024,0.005952381
387,1,electricity,winterwe2,2024,0.005952381
388,1,electricity,winterwe3,2024,0.005952381
389,1,electricity,winterwe4,2024,0.005952381
390,1,electricity,winterwe5,2024,0.005952381
391,1,electricity,winterwe6,2024,0.005952381
392,1,electricity,winterwe7,2024,0.005952381
393,1,electricity,winterwe8,2024,0.005952381
394,1,electricity,winterwe9,2024,0.005952381
395,1,electricity,winterwe10,2024,0.005952381
396,1,electricity,winterwe11,2024,0.005952381
397,1,electricity,winterwe12,2024,0.005952381
398,1,electricity,winterwe13,2024,0.005952381
399,1,electricity,winterwe14,2024,0.005952381
400,1,electricity,winterwe15,2024,0.005952381
401,1,electricity,winterwe16,2024,0.005952381
402,1,electricity,winterwe17,2024,0.005952381
403,1,electricity,winterwe18,2024,0.005952381
404,1,electricity,winterwe19,2024,0.005952381
405,1,electricity,winterwe20,2024,0.005952381
406,1,electricity,winterwe21,2024,0.005952381
407,1,electricity,winterwe22,2024,0.005952381
408,1,electricity,winterwe23,2024,0.005952381
409,1,electricity,winterwd0,2024,0.014880952
410,1,electricity,winterwd1,2024,0.014880952
411,1,electricity,winterwd2,2024,0.014880952
412,1,electricity,winterwd3,2024,0.014880952
413,1,electricity,winterwd4,2024,0.014880952
414,1,electricity,winterwd5,2024,0.014880952
415,1,electricity,winterwd6,2024,0.014880952
416,1,electricity,winterwd7,2024,0.014880952
417,1,electricity,winterwd8,2024,0.014880952
418,1,electricity,winterwd9,2024,0.014880952
419,1,electricity,winterwd10,2024,0.014880952
420,1,electricity,winterwd11,2024,0.014880952
421,1,electricity,winterwd12,2024,0.014880952
422,1,electricity,winterwd13,2024,0.014880952
423,1,electricity,winterwd14,2024,0.014880952
424,1,electricity,winterwd15,2024,0.014880952
425,1,electricity,winterwd16,2024,0.014880952
426,1,electricity,winterwd17,2024,0.014880952
427,1,electricity,winterwd18,2024,0.014880952
428,1,electricity,winterwd19,2024,0.014880952
429,1,electricity,winterwd20,2024,0.014880952
430,1,electricity,winterwd21,2024,0.014880952
431,1,electricity,winterwd22,2024,0.014880952
432,1,electricity,winterwd23,2024,0.014880952
433,1,electricity,summerwe0,2024,0.005952381
434,1,electricity,summerwe1,2024,0.005952381
435,1,electricity,summerwe2,2024,0.005952381
436,1,electricity,summerwe3,2024,0.005952381
437,1,electricity,summerwe4,2024,0.005952381
438,1,electricity,summerwe5,2024,0.005952381
439,1,electricity,summerwe6,2024,0.005952381
440,1,electricity,summerwe7,2024,0.005952381
441,1,electricity,summerwe8,2024,0.005952381
442,1,electricity,summerwe9,2024,0.005952381
443,1,electricity,summerwe10,2024,0.005952381
444,1,electricity,summerwe11,2024,0.005952381
445,1,electricity,summerwe12,2024,0.005952381
446,1,electricity,summerwe13,2024,0.005952381
447,1,electricity,summerwe14,2024,0.005952381
448,1,electricity,summerwe15,2024,0.005952381
449,1,electricity,summerwe16,2024,0.005952381
450,1,electricity,summerwe17,2024,0.005952381
451,1,electricity,summerwe18,2024,0.005952381
452,1,electricity,summerwe19,2024,0.005952381
453,1,electricity,summerwe20,2024,0.005952381
454,1,electricity,summerwe21,2024,0.005952381
455,1,electricity,summerwe22,2024,0.005952381
456,1,electricity,summerwe23,2024,0.005952381
457,1,electricity,summerwd0,2024,0.014880952
458,1,electricity,summerwd1,2024,0.014880952
459,1,electricity,summerwd2,2024,0.014880952
460,1,electricity,summerwd3,2024,0.014880952
461,1,electricity,summerwd4,2024,0.014880952
462,1,electricity,summerwd5,2024,0.014880952
463,1,electricity,summerwd6,2024,0.014880952
464,1,electricity,summerwd7,2024,0.014880952
465,1,electricity,summerwd8,2024,0.014880952
466,1,electricity,summerwd9,2024,0.014880952
467,1,electricity,summerwd10,2024,0.014880952
468,1,electricity,summerwd11,2024,0.014880952
469,1,electricity,summerwd12,2024,0.014880952
470,1,electricity,summerwd13,2024,0.014880952
471,1,electricity,summerwd14,2024,0.014880952
472,1,electricity,summerwd15,2024,0.014880952
473,1,electricity,summerwd16,2024,0.014880952
474,1,electricity,summerwd17,2024,0.014880952
475,1,electricity,summerwd18,2024,0.014880952
476,1,electricity,summerwd19,2024,0.014880952
477,1,electricity,summerwd20,2024,0.014880952
478,1,electricity,summerwd21,2024,0.014880952
479,1,electricity,summerwd22,2024,0.014880952
480,1,electricity,summerwd23,2024,0.0148809680000023
481,1,electricity,winterwe0,2025,0.005952381
482,1,electricity,winterwe1,2025,0.005952381
483,1,electricity,winterwe2,2025,0.005952381
484,1,electricity,winterwe3,2025,0.005952381
485,1,electricity,winterwe4,2025,0.005952381
486,1,electricity,winterwe5,2025,0.005952381
487,1,electricity,winterwe6,2025,0.005952381
488,1,electricity,winterwe7,2025,0.005952381
489,1,electricity,winterwe8,2025,0.005952381
490,1,electricity,winterwe9,2025,0.005952381
491,1,electricity,winterwe10,2025,0.005952381
492,1,electricity,winterwe11,2025,0.005952381
493,1,electricity,winterwe12,2025,0.005952381
494,1,electricity,winterwe13,2025,0.005952381
495,1,electricity,winterwe14,2025,0.005952381
496,1,electricity,winterwe15,2025,0.005952381
497,1,electricity,winterwe16,2025,0.005952381
498,1,electricity,winterwe17,2025,0.005952381
499,1,electricity,winterwe18,2025,0.005952381
500,1,electricity,winterwe19,2025,0.005952381
501,1,electricity,winterwe20,2025,0.005952381
502,1,electricity,winterwe21,2025,0.005952381
503,1,electricity,winterwe22,2025,0.005952381
504,1,electricity,winterwe23,2025,0.005952381
505,1,electricity,winterwd0,2025,0.014880952
506,1,electricity,winterwd1,2025,0.014880952
507,1,electricity,winterwd2,2025,0.014880952
508,1,electricity,winterwd3,2025,0.014880952
509,1,electricity,winterwd4,2025,0.014880952
510,1,electricity,winterwd5,2025,0.014880952
511,1,electricity,winterwd6,2025,0.014880952
512,1,electricity,winterwd7,2025,0.014880952
513,1,electricity,winterwd8,2025,0.014880952
514,1,electricity,winterwd9,2025,0.014880952
515,1,electricity,winterwd10,2025,0.014880952
516,1,electricity,winterwd11,2025,0.014880952
517,1,electricity,winterwd12,2025,0.014880952
518,1,electricity,winterwd13,2025,0.014880952
519,1,electricity,winterwd14,2025,0.014880952
520,1,electricity,winterwd15,2025,0.014880952
521,1,electricity,winterwd16,2025,0.014880952
522,1,electricity,winterwd17,2025,0.014880952
523,1,electricity,winterwd18,2025,0.014880952
524,1,electricity,winterwd19,2025,0.014880952
525,1,electricity,winterwd20,2025,0.014880952
526,1,electricity,winterwd21,2025,0.014880952
527,1,electricity,winterwd22,2025,0.014880952
528,1,electricity,winterwd23,2025,0.014880952
529,1,electricity,summerwe0,2025,0.005952381
530,1,electricity,summerwe1,2025,0.005952381
531,1,electricity,summerwe2,2025,0.005952381
532,1,electricity,summerwe3,2025,0.005952381
533,1,electricity,summerwe4,2025,0.005952381
534,1,electricity,summerwe5,2025,0.005952381
535,1,electricity,summerwe6,2025,0.005952381
536,1,electricity,summerwe7,2025,0.005952381
537,1,electricity,summerwe8,2025,0.005952381
538,1,electricity,summerwe9,2025,0.005952381
539,1,electricity,summerwe10,2025,0.005952381
540,1,electricity,summerwe11,2025,0.005952381
541,1,electricity,summerwe12,2025,0.005952381
542,1,electricity,summerwe13,2025,0.005952381
543,1,electricity,summerwe14,2025,0.005952381
544,1,electricity,summerwe15,2025,0.005952381
545,1,electricity,summerwe16,2025,0.005952381
546,1,electricity,summerwe17,2025,0.005952381
547,1,electricity,summerwe18,2025,0.005952381
548,1,electricity,summerwe19,2025,0.005952381
549,1,electricity,summerwe20,2025,0.005952381
550,1,electricity,summerwe21,2025,0.005952381
551,1,electricity,summerwe22,2025,0.005952381
552,1,electricity,summerwe23,2025,0.005952381
553,1,electricity,summerwd0,2025,0.014880952
554,1,electricity,summerwd1,2025,0.014880952
555,1,electricity,summerwd2,2025,0.014880952
556,1,electricity,summerwd3,2025,0.014880952
557,1,electricity,summerwd4,2025,0.014880952
558,1,electricity,summerwd5,2025,0.014880952
559,1,electricity,summerwd6,2025,0.014880952
560,1,electricity,summerwd7,2025,0.014880952
561,1,electricity,summerwd8,2025,0.014880952
562,1,electricity,summerwd9,2025,0.014880952
563,1,electricity,summerwd10,2025,0.014880952
564,1,electricity,summerwd11,2025,0.014880952
565,1,electricity,summerwd12,2025,0.014880952
566,1,electricity,summerwd13,2025,0.014880952
567,1,electricity,summerwd14,2025,0.014880952
568,1,electricity,summerwd15,2025,0.014880952
569,1,electricity,summerwd16,2025,0.014880952
570,1,electricity,summerwd17,2025,0.014880952
571,1,electricity,summerwd18,2025,0.014880952
572,1,electricity,summerwd19,2025,0.014880952
573,1,electricity,summerwd20,2025,0.014880952
574,1,electricity,summerwd21,2025,0.014880952
575,1,electricity,summerwd22,2025,0.014880952
576,1,electricity,summerwd23,2025,0.0148809680000023
577,1,electricity,winterwe0,2026,0.005952381
578,1,electricity,winterwe1,2026,0.005952381
579,1,electricity,winterwe2,2026,0.005952381
580,1,electricity,winterwe3,2026,0.005952381
581,1,electricity,winterwe4,2026,0.005952381
582,1,electricity,winterwe5,2026,0.005952381
583,1,electricity,winterwe6,2026,0.005952381
584,1,electricity,winterwe7,2026,0.005952381
585,1,electricity,winterwe8,2026,0.005952381
586,1,electricity,winterwe9,2026,0.005952381
587,1,electricity,winterwe10,2026,0.005952381
588,1,electricity,winterwe11,2026,0.005952381
589,1,electricity,winterwe12,2026,0.005952381
590,1,electricity,winterwe13,2026,0.005952381
591,1,electricity,winterwe14,2026,0.005952381
592,1,electricity,winterwe15,2026,0.005952381
593,1,electricity,winterwe16,2026,0.005952381
594,1,electricity,winterwe17,2026,0.005952381
595,1,electricity,winterwe18,2026,0.005952381
596,1,electricity,winterwe19,2026,0.005952381
597,1,electricity,winterwe20,2026,0.005952381
598,1,electricity,winterwe21,2026,0.005952381
599,1,electricity,winterwe22,2026,0.005952381
600,1,electricity,winterwe23,2026,0.005952381
601,1,electricity,winterwd0,2026,0.014880952
602,1,electricity,winterwd1,2026,0.014880952
603,1,electricity,winterwd2,2026,0.014880952
604,1,electricity,winterwd3,2026,0.014880952
605,1,electricity,winterwd4,2026,0.014880952
606,1,electricity,winterwd5,2026,0.014880952
