category_name,region,iso_alpha_3,fao_area_code
New Zealand,new_zealand,NZL,156
Nicaragua,nicaragua,NIC,157
Niger,niger,NER,158
Nigeria,nigeria,NGA,159
North Macedonia,north_macedonia,MKD,154
Northern Mariana Islands,northern_mariana_islands,MNP,163
Norway,norway,NOR,162
Oman,oman,OMN,221
Pakistan,pakistan,PAK,165
Palau,palau,PLW,180
Panama,panama,PAN,166
Papua New Guinea,papua_new_guinea,PNG,168
Paraguay,paraguay,PRY,169
Peru,peru,PER,170
Philippines,philippines,PHL,171
Poland,poland,POL,173
Portugal,portugal,PRT,174
Puerto Rico,puerto_rico,PRI,177
Qatar,qatar,QAT,179
Republic of Korea,republic_of_korea,KOR,117
Republic of Moldova,republic_of_moldova,MDA,146
Republic of the Congo,republic_of_the_congo,COG,46
Romania,romania,ROU,183
Russian Federation,russia,RUS,185
Rwanda,rwanda,RWA,184
Saint Kitts and Nevis,saint_kitts_and_nevis,KNA,188
Saint Lucia,saint_lucia,LCA,189
Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines,VCT,191
Saint-Martin (French part),saint_martin,MAF,281
Samoa,samoa,WSM,244
San Marino,san_marino,SMR,192
Sao Tome and Principe,sao_tome_and_principe,STP,193
Saudi Arabia,saudi_arabia,SAU,194
Senegal,senegal,SEN,195
Serbia,serbia,SRB,272
Seychelles,seychelles,SYC,196
Sierra Leone,sierra_leone,SLE,197
Singapore,singapore,SGP,200
Sint Maarten (Dutch part),sint_maarten,SXM,280
Slovakia,slovakia,SVK,199
Slovenia,slovenia,SVN,198
Solomon Islands,solomon_islands,SLB,25
Somalia,somalia,SOM,201
South Africa,south_africa,ZAF,202
South Sudan,south_sudan,SSD,277
Spain,spain,ESP,203
Sri Lanka,sri_lanka,LKA,38
Sudan,sudan,SDN,276
Suriname,suriname,SUR,207
Sweden,sweden,SWE,210
Switzerland,switzerland,CHE,211
Syrian Arab Republic,syrian_arab_republic,SYR,212
Tajikistan,tajikistan,TJK,208
Thailand,thailand,THA,216
Timor-Leste,timor_leste,TLS,176
Togo,togo,TGO,217
Tonga,tonga,TON,219
Trinidad and Tobago,trinidad_and_tobago,TTO,220
Tunisia,tunisia,TUN,222
Turkey,turkey,TUR,223
Turkmenistan,turkmenistan,TKM,213
Turks and Caicos Islands,turks_and_caicos_islands,TCA,224
Tuvalu,tuvalu,TUV,227
Uganda,uganda,UGA,226
Ukraine,ukraine,UKR,230
United Arab Emirates,united_arab_emirates,ARE,225
United Kingdom,united_kingdom,GBR,229
United Republic of Tanzania,united_republic_of_tanzania,TZA,215
United States Virgin Islands,united_states_virgin_islands,VIR,240
United States of America,united_states_of_america,USA,231
Uruguay,uruguay,URY,234
Uzbekistan,uzbekistan,UZB,235
Vanuatu,vanuatu,VUT,155
Venezuela,venezuela,VEN,236
Viet Nam,viet_nam,VNM,237
Yemen,yemen,YEM,249
Zambia,zambia,ZMB,251
Zimbabwe,zimbabwe,ZWE,181
